2026-07-11 22:28:05 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-11 22:28:37 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | system | system.start | # | engine=sqlite | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | product.create | product#1 | Olma sharbati 1L | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | product.create | product#2 | Non (buxanka) | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | supplier.create | supplier#1 | Agro Distribyutor MChJ | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | customer.create | customer#1 | Do'kon Baraka | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | purchase.create | purchase#1 | PUR-2026-000001, 2 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | purchase.receive | purchase#1 | PUR-2026-000001 | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | purchase.create | purchase#2 | PUR-2026-000002, 1 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | purchase.receive | purchase#2 | PUR-2026-000002 | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.create | invoice#1 | INV-2026-000003, 1 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.confirm | invoice#1 | INV-2026-000003 | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.payment | invoice#1 | 100000.00 (cash) | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.payment | invoice#1 | 185000.00 (bank) | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.create | invoice#2 | INV-2026-000004, 1 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.create | return#3 | RET-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.confirm | return#3 | RET-2026-000001 | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.create | pos#4 | POS-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.confirm | pos#4 | POS-2026-000001 | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.payment | pos#4 | 12000.00 (cash) | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.create | quotation#5 | QUO-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.create | order#6 | ORD-2026-000001, 1 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.convert | quotation#5 | -> order #6 | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.create | invoice#7 | INV-2026-000005, 1 pozitsiya | ip=
2026-07-12 07:57:16 | INFO     | uzerp.audit | admin | sale.convert | order#6 | -> invoice #7 | ip=
