2026-07-11 22:28:05 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-11 22:28:37 | INFO     | uzerp.security | admin | login.failed | # | urinish #1 | ip=127.0.0.1
2026-07-11 22:28:37 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-11 22:28:37 | INFO     | uzerp.security | admin | logout | # |  | ip=
2026-07-12 07:58:08 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-12 08:16:59 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-12 08:18:20 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-12 09:12:39 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-12 09:14:17 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-12 09:14:18 | INFO     | uzerp.security | admin | backup.restore | backup# | uzerp_backup_20260712_091418_363.zip | ip=
2026-07-12 11:25:32 | INFO     | uzerp.security | system | rate_limit.exceeded | # | / | ip=127.0.0.1
2026-07-12 11:25:32 | INFO     | uzerp.security | system | rate_limit.exceeded | # | / | ip=127.0.0.1
2026-07-12 11:29:05 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 11:36:29 | INFO     | uzerp.security | system | csrf.blocked | # | /login | ip=127.0.0.1
2026-07-12 11:36:29 | INFO     | uzerp.security | admin | login.failed | # | urinish #1 | ip=127.0.0.1
2026-07-12 11:36:29 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 11:43:12 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-12 11:43:13 | INFO     | uzerp.security | admin | backup.restore | backup# | uzerp_backup_20260712_114313_292.zip | ip=
2026-07-12 11:43:13 | INFO     | uzerp.security | system | csrf.blocked | # | /login | ip=127.0.0.1
2026-07-12 11:43:14 | INFO     | uzerp.security | admin | login.failed | # | urinish #1 | ip=127.0.0.1
2026-07-12 11:43:14 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 11:43:14 | INFO     | uzerp.security | kassir1 | login.success | # |  | ip=127.0.0.1
2026-07-12 11:43:15 | INFO     | uzerp.security | admin | logout | # |  | ip=
2026-07-12 11:44:27 | INFO     | uzerp.security | system | rate_limit.exceeded | # | / | ip=127.0.0.1
2026-07-12 11:44:27 | INFO     | uzerp.security | system | rate_limit.exceeded | # | / | ip=127.0.0.1
2026-07-12 11:45:50 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 11:55:24 | INFO     | uzerp.security | admin | login.failed | # | urinish #1 | ip=127.0.0.1
2026-07-12 11:55:24 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 11:55:24 | INFO     | uzerp.security | apikassir | login.success | # |  | ip=127.0.0.1
2026-07-12 11:55:25 | INFO     | uzerp.security | apimanager | login.success | # |  | ip=127.0.0.1
2026-07-12 11:56:05 | INFO     | uzerp.security | admin | login.failed | # | urinish #1 | ip=127.0.0.1
2026-07-12 11:56:05 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 11:56:28 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-12 11:56:29 | INFO     | uzerp.security | admin | backup.restore | backup# | uzerp_backup_20260712_115629_340.zip | ip=
2026-07-12 11:56:29 | INFO     | uzerp.security | system | csrf.blocked | # | /login | ip=127.0.0.1
2026-07-12 11:56:30 | INFO     | uzerp.security | admin | login.failed | # | urinish #1 | ip=127.0.0.1
2026-07-12 11:56:30 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 11:56:30 | INFO     | uzerp.security | kassir1 | login.success | # |  | ip=127.0.0.1
2026-07-12 11:56:31 | INFO     | uzerp.security | admin | logout | # |  | ip=
2026-07-12 11:56:31 | INFO     | uzerp.security | admin | login.failed | # | urinish #1 | ip=127.0.0.1
2026-07-12 11:56:32 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 11:56:32 | INFO     | uzerp.security | apikassir | login.success | # |  | ip=127.0.0.1
2026-07-12 11:56:32 | INFO     | uzerp.security | apimanager | login.success | # |  | ip=127.0.0.1
2026-07-12 12:04:55 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 12:05:15 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 12:08:57 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
2026-07-12 12:08:57 | INFO     | uzerp.security | guikassir | login.success | # |  | ip=127.0.0.1
2026-07-12 12:28:37 | INFO     | uzerp.security | system | user.admin_created | # | Birinchi ishga tushish | ip=
2026-07-12 12:31:17 | INFO     | uzerp.security | admin | login.failed | # | urinish #1 | ip=127.0.0.1
2026-07-12 12:31:44 | INFO     | uzerp.security | admin | login.success | # |  | ip=127.0.0.1
