timestamp,state,network_type,traffic_tx_rx_mb,rssi,external_ip,ip_address,connection_uptime,imsi,imei,iccid,duplex_mode,mcc,mnc,cid,pcid,band,bandwidth_ul,bandwidth_dl,rsrp,rsrq,sinr,pcc_1,pcc_2,scc_1,scc_2,scc_3,scc_4,scc_count
2026-07-22T11:26:32+05:00,Есть подключение,UZDGSM 4G,0.10 МБ / 3.05 МБ,0,185.163.26.71,10.166.38.194,01:21:58,434070245534360,866029070432606,89998070200455343608,,,,,,,,,,,,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:26:42+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.06 МБ,19,185.163.26.71,10.166.38.194,01:22:07,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-91,-6,9,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:27:42+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.09 МБ,19,185.163.26.71,10.166.38.194,01:23:08,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-91,-6,12,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:28:43+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.13 МБ,19,185.163.26.71,10.166.38.194,01:24:08,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-90,-7,16,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:29:43+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.17 МБ,20,185.163.26.71,10.166.38.194,01:25:09,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-89,-6,17,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:30:43+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.20 МБ,20,185.163.26.71,10.166.38.194,01:26:09,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-91,-6,13,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:31:44+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.25 МБ,19,185.163.26.71,10.166.38.194,01:27:09,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-92,-6,12,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:32:44+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.28 МБ,20,185.163.26.71,10.166.38.194,01:28:10,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-89,-6,13,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:33:45+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.32 МБ,19,185.163.26.71,10.166.38.194,01:29:10,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-92,-6,8,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
2026-07-22T11:34:45+05:00,Есть подключение,UZDGSM 4G,0.11 МБ / 3.35 МБ,19,185.163.26.71,10.166.38.194,01:30:11,434070245534360,866029070432606,89998070200455343608,FDD,434,07,6B706,10,B7,20MHz,20MHz,-90,-5,14,"""LTE BAND 7"" / 20MHz",,"""LTE BAND 1"" / 10MHz",,,,1
